--- System Monitoring --- | Time: 2025-09-28 22:58:57 | CPU Usage: 0.0% | RAM Usage: 43.0% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.40 MB | Received: 12183.09 MB | FPS: 1 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:58:59 | CPU Usage: 5.6% | RAM Usage: 43.1% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.40 MB | Received: 12183.09 MB | FPS: 1 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:00 | CPU Usage: 4.7% | RAM Usage: 43.1% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.40 MB | Received: 12183.09 MB | FPS: 1 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:01 | CPU Usage: 2.9% | RAM Usage: 43.1% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.40 MB | Received: 12183.09 MB | FPS: 1 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:02 | CPU Usage: 4.3% | RAM Usage: 43.1% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.40 MB | Received: 12183.09 MB | FPS: 1 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:03 | CPU Usage: 3.1% | RAM Usage: 43.1% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.40 MB | Received: 12183.09 MB | FPS: 1 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:04 | CPU Usage: 3.8% | RAM Usage: 43.1% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.40 MB | Received: 12183.09 MB | FPS: 1 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:05 | CPU Usage: 3.7% | RAM Usage: 43.1% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.40 MB | Received: 12183.09 MB | FPS: 1 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:06 | CPU Usage: 11.9% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.40 MB | Received: 12183.09 MB | FPS: 1 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:07 | CPU Usage: 6.8% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.40 MB | Received: 12183.09 MB | FPS: 1 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:08 | CPU Usage: 3.5% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.40 MB | Received: 12183.09 MB | FPS: 1 | Temperature: N/A | Swap Usage: 23.1%
